mean,min,max,st_dev,mean_time,function,dimension
0.00,0.00,0.00,0.00,3.2815,de_jong,5
0.00,0.00,0.00,0.00,3.7403,de_jong,10
0.00,0.00,0.00,0.00,11.2794,de_jong,30
1.0963,0.00,3.2301,0.9422,7.7753,rastrigin,5
4.5014,1.0011,10.02,2.4994,17.3928,rastrigin,10
28.3172,18.1439,47.9299,6.5597,61.3776,rastrigin,30
-2094.681,-2094.91,-2094.34,0.1363,12.5020,schwefel,5
-4147.6136,-4189.32,-3991.0,50.0158,16.2330,schwefel,10
-12016.0333,-12352.9,-11404.3,240.3118,81.6437,schwefel,30
-4.5857,-4.6875,-4.2229,0.1149,10.8931,michalewicz,5
-8.9772,-9.4380,-8.2355,0.3389,12.6723,michalewicz,10
-26.6072,-28.1126,-24.6847,0.8046,67.3814,michalewicz,30
